day,home,away,stadium,crowd
토,두산,한화,잠실,"16,271"
토,KIA,LG,광주,"16,908"
토,키움,롯데,고척,"8,257"
토,NC,SSG,창원,"7,814"
토,KT,삼성,수원,"17,057"
일,두산,한화,잠실,"11,345"
일,KIA,LG,광주,"10,290"
일,키움,롯데,고척,"6,115"
일,NC,SSG,창원,"4,808"
일,KT,삼성,수원,"10,321"
화,KIA,한화,광주,"2,840"
화,키움,LG,고척,"2,298"
화,NC,롯데,창원,"3,246"
화,KT,SSG,수원,"2,055"
화,두산,삼성,잠실,"4,109"
수,KIA,한화,광주,"3,117"
수,키움,LG,고척,"2,304"
수,NC,롯데,창원,"3,000"
수,KT,SSG,수원,"2,094"
수,두산,삼성,잠실,"4,161"
목,KIA,한화,광주,"2,773"
목,키움,LG,고척,"2,055"
목,NC,롯데,창원,"3,017"
목,KT,SSG,수원,"2,530"
목,두산,삼성,잠실,"4,055"
금,SSG,KIA,문학,"15,615"
금,한화,KT,대전,"5,520"
금,LG,NC,잠실,"10,623"
금,롯데,두산,사직,"8,860"
금,삼성,키움,대구,"9,244"
토,SSG,KIA,문학,"21,005"
토,한화,KT,대전,"6,538"
토,LG,NC,잠실,"14,328"
토,롯데,두산,사직,"13,045"
토,삼성,키움,대구,"13,059"
일,SSG,KIA,문학,"17,849"
일,한화,KT,대전,"5,735"
일,LG,NC,잠실,"13,095"
일,롯데,두산,사직,"11,646"
일,삼성,키움,대구,"11,610"
화,삼성,한화,대구,"4,047"
화,KIA,롯데,광주,"3,654"
화,키움,NC,고척,774
화,KT,두산,수원,"2,450"
화,LG,SSG,잠실,"6,028"
수,삼성,한화,대구,"2,156"
수,키움,NC,고척,893
수,LG,SSG,잠실,"4,547"
목,삼성,한화,대구,"2,869"
목,KIA,롯데,광주,"3,838"
목,키움,NC,고척,"1,020"
목,KT,두산,수원,"2,241"
목,LG,SSG,잠실,"6,500"
금,NC,KIA,창원,"3,002"
금,롯데,KT,사직,"4,610"
금,한화,LG,대전,"3,320"
금,SSG,삼성,문학,"9,441"
금,두산,키움,잠실,"4,423"
토,NC,KIA,창원,"4,580"
토,롯데,KT,사직,"10,639"
토,한화,LG,대전,"8,112"
토,SSG,삼성,문학,"16,037"
토,두산,키움,잠실,"9,737"
일,NC,KIA,창원,"3,902"
일,롯데,KT,사직,"9,231"
일,한화,LG,대전,"6,566"
일,SSG,삼성,문학,"15,104"
일,두산,키움,잠실,"8,762"
화,롯데,한화,사직,"4,053"
화,LG,KT,잠실,"4,537"
화,KIA,두산,광주,"2,658"
화,NC,삼성,창원,"1,725"
화,SSG,키움,문학,"5,931"
수,롯데,한화,사직,"4,340"
수,LG,KT,잠실,"4,595"
수,KIA,두산,광주,"4,010"
