day,home,away,stadium,crowd
토,두산,한화,잠실,16271
토,KIA,LG,광주,16908
토,키움,롯데,고척,8257
토,NC,SSG,창원,7814
토,KT,삼성,수원,17057
일,두산,한화,잠실,11345
일,KIA,LG,광주,10290
일,키움,롯데,고척,6115
일,NC,SSG,창원,4808
일,KT,삼성,수원,10321
화,KIA,한화,광주,2840
화,키움,LG,고척,2298
화,NC,롯데,창원,3246
화,KT,SSG,수원,2055
화,두산,삼성,잠실,4109
수,KIA,한화,광주,3117
수,키움,LG,고척,2304
수,NC,롯데,창원,3000
수,KT,SSG,수원,2094
수,두산,삼성,잠실,4161
목,KIA,한화,광주,2773
목,키움,LG,고척,2055
목,NC,롯데,창원,3017
목,KT,SSG,수원,2530
목,두산,삼성,잠실,4055
금,SSG,KIA,문학,15615
금,한화,KT,대전,5520
금,LG,NC,잠실,10623
금,롯데,두산,사직,8860
금,삼성,키움,대구,9244
토,SSG,KIA,문학,21005
토,한화,KT,대전,6538
토,LG,NC,잠실,14328
토,롯데,두산,사직,13045
토,삼성,키움,대구,13059
일,SSG,KIA,문학,17849
일,한화,KT,대전,5735
일,LG,NC,잠실,13095
일,롯데,두산,사직,11646
일,삼성,키움,대구,11610
화,삼성,한화,대구,4047
화,KIA,롯데,광주,3654
화,키움,NC,고척,774
화,KT,두산,수원,2450
화,LG,SSG,잠실,6028
수,삼성,한화,대구,2156
수,키움,NC,고척,893
수,LG,SSG,잠실,4547
목,삼성,한화,대구,2869
목,KIA,롯데,광주,3838
목,키움,NC,고척,1020
목,KT,두산,수원,2241
목,LG,SSG,잠실,6500
금,NC,KIA,창원,3002
금,롯데,KT,사직,4610
금,한화,LG,대전,3320
금,SSG,삼성,문학,9441
금,두산,키움,잠실,4423
토,NC,KIA,창원,4580
토,롯데,KT,사직,10639
토,한화,LG,대전,8112
토,SSG,삼성,문학,16037
토,두산,키움,잠실,9737
일,NC,KIA,창원,3902
일,롯데,KT,사직,9231
일,한화,LG,대전,6566
일,SSG,삼성,문학,15104
일,두산,키움,잠실,8762
화,롯데,한화,사직,4053
화,LG,KT,잠실,4537
화,KIA,두산,광주,2658
화,NC,삼성,창원,1725
화,SSG,키움,문학,5931
수,롯데,한화,사직,4340
수,LG,KT,잠실,4595
수,KIA,두산,광주,4010
수,NC,삼성,창원,2104
수,SSG,키움,문학,5061
목,롯데,한화,사직,3306
목,LG,KT,잠실,4410
목,KIA,두산,광주,3474
목,NC,삼성,창원,1675
목,SSG,키움,문학,8080
금,키움,KIA,고척,4289
금,두산,LG,잠실,8472
금,삼성,롯데,대구,7951
금,KT,NC,수원,2276
금,한화,SSG,대전,3146
토,키움,KIA,고척,8338
토,두산,LG,잠실,17799
토,삼성,롯데,대구,14983
